,0,1,2,3
72,72,-3.9331,0.00998645168764533,"[0, 5, 5, 4, 13, 13, 4, 5, 7, 7, 4, 11, 3, 11, 11, 13, 4, 4, 4, 4, 4, 4, 7, 13, 13, 13, 8, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 5, 5, 5, 5, 5, 7, 7, 7, 5]"
73,73,-10.608333333333333,0.00998645168764533,"[0, 5, 5, 4, 13, 7, 4, 5, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
74,74,-6.1520666666666655,0.00998645168764533,"[7, 5, 4, 5, 4, 5, 7, 4, 7, 11, 11, 15, 11, 7, 7, 15, 13, 13, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
75,75,-7.951433333333334,0.00998645168764533,"[13, 5, 5, 4, 15, 5, 11, 11, 15, 4, 13, 4, 7, 11, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 15, 15, 4, 1]"
76,76,-7.600033333333333,0.00998645168764533,"[13, 5, 5, 4, 15, 5, 11, 11, 15, 4, 13, 4, 15, 11, 4, 4, 15, 15, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 12, 4, 4, 4, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
77,77,-7.944766666666666,0.00998645168764533,"[13, 5, 5, 4, 15, 5, 11, 11, 15, 4, 11, 4, 13, 15, 4, 4, 4, 4, 15, 4, 4, 4, 4, 4, 4, 4, 4, 4, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 4, 4, 4, 15, 15, 15]"
78,78,-7.933999999999998,0.00998645168764533,"[13, 5, 5, 4, 4, 13, 5, 4, 11, 11, 11, 15, 15, 15, 4, 4, 15, 4, 4, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
79,79,-13.5925,0.00998645168764533,"[0, 5, 5, 4, 4, 5, 15, 5, 5, 9, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 12, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
80,80,-7.931,0.00998645168764533,"[0, 5, 5, 4, 4, 5, 15, 5, 15, 4, 13, 11, 13, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 11, 5, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
81,81,-8.946200000000001,0.00998645168764533,"[0, 5, 5, 4, 4, 5, 13, 4, 13, 11, 5, 5, 5, 11, 11, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
